type,ids,length,openings
IW,IW,2700.0,0
IW,IW,3600.0,1
IW,IW,7200.0,2
IW,IW,9000.0,1
IW,IW,3600.0,1
IW,IW,1800.0000000000659,0
IW,IW,4500.0,1
IW,IW,2700.0,0
IW,IW,900.0,0
IW,IW,3600.0,0
IW,IW,3599.9999999999964,3
IW,IW,4500.0,0
IW,IW,5399.9995117187354,1
IW,IW,3600.0,0
IW,IW,4500.0,1
IW,IW,1799.9998779296839,0
IW,IW,3600.0,0
IW,IW,3600.0,1
IW,IW,3600.0,1
IW,IW,1800.0,0
IW,IW,3600.0,0
IW,IW,1800.0,0
IW,IW,900.0,0
IW,IW,3600.0,0
IW,IW,3600.0,1
IW,IW,1800.0,1
IW,IW,1800.0,1
