type,ids,length,openings
IW,IW,7200.0,2
IW,IW,3600.0000000000036,0
IW,IW,4500.0,1
IW,IW,8100.0,2
IW,IW,3600.0,1
IW,IW,8099.9986058310906,0
IW,IW,900.0,0
IW,IW,1800.0,0
IW,IW,2699.9999999999991,1
IW,IW,2700.0,0
IW,IW,899.9985961913917,0
IW,IW,3600.0,0
IW,IW,5400.0,0
IW,IW,4500.0,1
IW,IW,3600.0,1
IW,IW,3600.0,1
IW,IW,1800.0,1
IW,IW,900.0,0
IW,IW,1800.0,0
IW,IW,1800.0000000000009,1
IW,IW,3600.0,0
IW,IW,3600.0,0
IW,IW,2700.0,0
IW,IW,900.0,0
IW,IW,1800.0000610351563,1
IW,IW,1799.9995117187354,0
IW,IW,1800.0,0
