type,ids,length,openings
IW,IW,7200.0,2
IW,IW,4500.0,1
IW,IW,4500.0,1
IW,IW,3600.0,1
IW,IW,6299.9986058310906,0
IW,IW,3600.0,1
IW,IW,3600.0,1
IW,IW,3600.0,1
IW,IW,899.99999999999864,0
IW,IW,1800.0000000000018,0
IW,IW,1800.0000000000036,0
IW,IW,3600.0,0
IW,IW,899.99859619139079,0
IW,IW,900.0,0
IW,IW,3600.0,1
IW,IW,899.9985961913917,0
IW,IW,1800.0004882812627,0
IW,IW,3600.0,0
IW,IW,4500.0,1
IW,IW,3600.0,0
IW,IW,3600.0,1
IW,IW,2700.0,0
IW,IW,2700.0,0
IW,IW,1800.0,0
IW,IW,900.0,0
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,1799.9999999999991,1
IW,IW,1799.9995117187354,0
IW,IW,900.0,0
IW,IW,1800.0,0
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,1800.0000610351563,1
IW,IW,1799.9995117187354,0
IW,IW,1800.0,0
