type,ids,length,openings
IW,IW,6300.0,2
IW,IW,4500.0,1
IW,IW,5400.0,1
IW,IW,3600.0,1
IW,IW,4500.0,1
IW,IW,8100.0,2
IW,IW,2700.0000000000009,0
IW,IW,2700.0000000000005,1
IW,IW,1800.0,0
IW,IW,899.99999999999818,0
IW,IW,3600.0,1
IW,IW,900.0,0
IW,IW,1800.0000000000036,0
IW,IW,3600.0,0
IW,IW,5400.0,1
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,4500.0,1
IW,IW,2700.0,0
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,1800.0,0
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,1800.0,0
IW,IW,1799.9999999999991,1
IW,IW,900.0,0
IW,IW,3600.0,0
