type,ids,length,openings
IW,IW,6300.0,2
IW,IW,2699.9999999999554,0
IW,IW,7200.0,0
IW,IW,3600.0,1
IW,IW,4500.0,1
IW,IW,4500.0,1
IW,IW,2699.9999999999991,1
IW,IW,900.00000000000091,0
IW,IW,3600.0,1
IW,IW,1800.0000000000036,0
IW,IW,900.0,0
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,1800.0,0
IW,IW,1800.0,0
IW,IW,1800.0,0
IW,IW,1800.0,3
IW,IW,4500.0,2
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,4500.0,1
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,2700.0,0
IW,IW,1800.0,0
IW,IW,900.0,0
IW,IW,1799.9999999999991,1
IW,IW,1800.0,1
IW,IW,900.0,0
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,1800.0,0
IW,IW,3600.0,0
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,1800.0,1
IW,IW,1800.0,0
IW,IW,1800.0,1
IW,IW,900.0,0
