type,ids,length,openings
IW,IW,2700.0,0
IW,IW,7200.0,2
IW,IW,1800.0000000000659,0
IW,IW,3600.0,1
IW,IW,4500.0,1
IW,IW,3600.0,1
IW,IW,2700.0000000000009,0
IW,IW,2700.0000000000005,1
IW,IW,2700.0,0
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,3600.0,0
IW,IW,7199.9995117187354,2
IW,IW,3600.0,0
IW,IW,4500.0,1
IW,IW,5400.0,2
IW,IW,4500.0,0
IW,IW,1799.9998779296839,0
IW,IW,2700.0,0
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,3600.0,1
IW,IW,3600.0,1
IW,IW,1800.0,1
IW,IW,900.0,0
IW,IW,1800.0,0
IW,IW,3600.0,0
