type,ids,length,openings
IW,IW,7200.0,2
IW,IW,7200.0,1
IW,IW,3600.0,1
IW,IW,4500.0,1
IW,IW,3600.0,1
IW,IW,7200.0,1
IW,IW,1800.0,1
IW,IW,900.0,0
IW,IW,1800.0,1
IW,IW,3600.0,1
IW,IW,899.99859619139079,0
IW,IW,3599.9999999999982,3
IW,IW,5399.9995117187354,1
IW,IW,5400.0,1
IW,IW,5400.0,1
IW,IW,1800.0004882812627,0
IW,IW,3600.0,0
IW,IW,4500.0,1
IW,IW,3600.0,1
IW,IW,1800.0,1
IW,IW,900.0,0
IW,IW,1800.0,0
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,3600.0,0
IW,IW,899.99999999992633,2
