type,ids,length,openings
IW,IW,7200.0000000000655,2
IW,IW,6300.0,2
IW,IW,9000.0,1
IW,IW,4500.0,1
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,3600.0,1
IW,IW,899.9985961913917,0
IW,IW,900.0,0
IW,IW,1800.0,1
IW,IW,7199.9995117187354,1
IW,IW,1800.0004882812627,0
IW,IW,3600.0,0
IW,IW,4500.0,1
IW,IW,5400.0,1
IW,IW,5400.0,1
IW,IW,3600.0,0
IW,IW,1800.0,0
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,1800.0,0
IW,IW,3600.0,0
IW,IW,899.99999999996362,0
IW,IW,900.0,0
