type,ids,length,openings
IW,IW,2700.0,0
IW,IW,7200.0,2
IW,IW,5400.0,0
IW,IW,8100.0000000000055,0
IW,IW,4500.0,1
IW,IW,8100.0,2
IW,IW,900.0,0
IW,IW,3600.0000000000018,0
IW,IW,900.0,0
IW,IW,3600.0,1
IW,IW,3600.0,2
IW,IW,3600.0,0
IW,IW,4500.0,1
IW,IW,3600.0,0
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,3600.0,1
IW,IW,900.0,0
IW,IW,1800.0,0
IW,IW,1800.0,1
IW,IW,1799.9999999999991,0
IW,IW,1800.0000000000009,1
IW,IW,3599.9998779296884,0
IW,IW,3600.0,0
IW,IW,3600.0,0
