type,ids,length,openings
IW,IW,6300.0,2
IW,IW,4500.0,1
IW,IW,12600.000000000004,2
IW,IW,8100.0,2
IW,IW,3600.0,1
IW,IW,6299.9986025987737,0
IW,IW,900.0,0
IW,IW,2700.0,0
IW,IW,3600.0,1
IW,IW,899.9985961913917,0
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,9000.0,0
IW,IW,4500.0,1
IW,IW,3600.0,0
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,1800.0,0
IW,IW,3600.0,0
IW,IW,1800.0,1
IW,IW,1800.0,1
IW,IW,2700.0,0
IW,IW,900.0,0
IW,IW,3600.0,0
IW,IW,1800.0,0
IW,IW,1799.9995117187354,0
IW,IW,1800.0001220703116,1
