type,ids,length,openings
IW,IW,2699.9999999999982,0
IW,IW,3600.0,1
IW,IW,7200.0,2
IW,IW,4499.9990844726526,0
IW,IW,900.00000000000091,0
IW,IW,3600.0,1
IW,IW,2700.0,1
IW,IW,1800.0,0
IW,IW,3600.0,0
IW,IW,1799.9999999999991,0
IW,IW,1800.0,1
IW,IW,899.99908447265261,0
IW,IW,4500.0000000000027,1
IW,IW,7200.0,3
IW,IW,1800.0,0
IW,IW,900.0,0
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,1800.0,1
IW,IW,3600.0,1
IW,IW,900.0,0
IW,IW,4500.0,1
IW,IW,1800.0,1
IW,IW,1800.0,1
