type,ids,length,openings
IW,IW,7200.0,2
IW,IW,2699.9999999999982,0
IW,IW,3600.0,1
IW,IW,4500.0,1
IW,IW,8099.99908447291,0
IW,IW,3600.000000000131,0
IW,IW,1800.0,0
IW,IW,1800.0,0
IW,IW,1800.0,1
IW,IW,899.99908447265261,0
IW,IW,7200.0,2
IW,IW,1800.0,0
IW,IW,7200.0,1
IW,IW,4500.0012207032387,1
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,1800.0,1
IW,IW,1800.0,1
IW,IW,2699.9999999999236,1
IW,IW,3600.0,0
IW,IW,1800.0,1
IW,IW,1800.0,1
