type,ids,length,openings
IW,IW,2700.0,0
IW,IW,3600.0,1
IW,IW,7200.0,2
IW,IW,4499.9999999999991,2
IW,IW,3600.0000000000655,1
IW,IW,6300.0,1
IW,IW,1800.0,0
IW,IW,2700.0,0
IW,IW,3600.0,0
IW,IW,3600.0,0
IW,IW,899.9985961913917,0
IW,IW,4500.0,1
IW,IW,6300.0,2
IW,IW,1800.0004882812627,0
IW,IW,4500.0000000000064,1
IW,IW,2700.0,0
IW,IW,3600.0,0
IW,IW,899.99999999999091,0
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,2700.0,0
IW,IW,1800.0,1
IW,IW,1800.0,1
IW,IW,1799.9995117187354,0
IW,IW,899.99999999996362,0
