type,ids,length,openings
IW,IW,3600.0,1
IW,IW,6300.0,2
IW,IW,6300.0,0
IW,IW,2700.0,0
IW,IW,3600.0000000000655,1
IW,IW,4499.9999999999563,1
IW,IW,1800.0,0
IW,IW,3600.0,0
IW,IW,2699.9999999999991,1
IW,IW,5400.0,1
IW,IW,5399.9999999999636,0
IW,IW,4500.0000000000064,1
IW,IW,3599.9999999999995,1
IW,IW,3600.0,0
IW,IW,899.99999999999091,0
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,3600.0,0
IW,IW,1800.0,1
IW,IW,1800.0,1
IW,IW,1800.0,1
IW,IW,2700.0,0
IW,IW,3600.0,0
IW,IW,1800.0,1
