type,ids,length,openings
IW,IW,3600.0,1
IW,IW,4500.0,1
IW,IW,9000.0,2
IW,IW,7200.0,2
IW,IW,7200.0,1
IW,IW,5400.0,0
IW,IW,3600.0,1
IW,IW,900.0,0
IW,IW,3600.0,0
IW,IW,2700.0000000000009,0
IW,IW,899.9985961913917,0
IW,IW,5400.0,0
IW,IW,3600.0,0
IW,IW,1800.0004882812646,0
IW,IW,4500.0,1
IW,IW,3600.0000000000127,2
IW,IW,1800.0,0
IW,IW,900.0,0
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,1800.0,1
IW,IW,1800.0,1
IW,IW,2700.0,0
IW,IW,1799.9995117187364,0
IW,IW,3600.0,0
IW,IW,3599.9999999999936,0
