id,type,storey,length,width,area,doors,windows
0,Start,0,0.0,0.0,0.0,0,0
1,S,0,-1.0,-1.0,5.511989640841176,0,0
2,F,0,11.904268449704524,9.12141572050408,108.58378137823556,0,0
3,EW,0,11.904268449704524,3.0,35.712805349113566,0,2
4,EW,0,9.12141572050408,3.0,27.36424716151224,0,4
5,EW,0,11.904268449704524,3.0,35.712805349113566,0,1
6,EW,0,9.12141572050408,3.0,27.36424716151224,1,0
7,F,1,10.016123031320337,10.81155783677227,108.2898934533466,0,0
8,R,2,10.016123031320337,6.599237536028182,66.09877507376555,0,0
9,R,2,10.81155783677227,6.1137142372721165,66.09877507376555,0,0
10,R,2,10.016123031320337,6.599237536028182,66.09877507376555,0,0
11,R,2,10.81155783677227,6.1137142372721165,66.09877507376555,0,0
12,EW,1,10.016123031320337,3.0,30.04836909396101,0,4
13,EW,1,10.81155783677227,3.0,32.43467351031681,0,3
14,EW,1,10.016123031320337,3.0,30.04836909396101,0,0
15,EW,1,10.81155783677227,3.0,32.43467351031681,1,0
16,IWB,0,4.387472770185847,3.0,13.16241831055754,1,0
17,IWB,0,4.230605961799236,3.0,12.69181788539771,0,0
18,IWB,0,4.230605961799236,3.0,12.69181788539771,0,0
19,IW,0,4.139870937612957,3.0,12.41961281283887,1,0
20,IW,0,4.174205623313718,3.0,12.522616869941151,2,0
21,IW,0,1.8700500105170488,3.0,5.610150031551147,0,0
22,IW,0,4.6558716927604165,3.0,13.967615078281248,1,0
23,IW,0,2.609182200537458,3.0,7.827546601612374,1,0
24,IW,0,6.336217048005883,3.0,19.008651144017648,1,0
25,IW,0,3.0403720094332267,3.0,9.12111602829968,0,0
26,IWB,1,2.090779891575482,3.0,6.272339674726446,1,0
27,IWB,1,2.452565977682902,3.0,7.357697933048707,0,0
28,IWB,1,4.791476165176745,3.0,14.374428495530234,0,0
29,IWB,1,4.365623938629278,3.0,13.096871815887834,0,0
30,IW,1,2.364133146973661,3.0,7.0923994409209845,0,0
31,IW,1,2.090779891575482,3.0,6.272339674726446,2,0
32,IW,1,4.571794818085031,3.0,13.71538445425509,1,0
33,IW,1,4.571794818085031,3.0,13.71538445425509,1,0
34,IW,1,4.365623938629278,3.0,13.096871815887834,1,0
35,IW,1,2.7304976990553187,3.0,8.191493097165957,0,0
36,Finish,2,0.0,0.0,0.0,0,0
