id,type,storey,length,width,area,doors,windows
0,Start,0,0.0,0.0,0.0,0,0
1,S,0,-1.0,-1.0,5.044692479423748,0,0
2,F,0,9.002739670991891,11.612521961706673,104.54451214492124,0,0
3,EW,0,9.002739670991891,3.0,27.008219012975676,0,2
4,EW,0,11.612521961706673,3.0,34.837565885120014,0,2
5,EW,0,9.002739670991891,3.0,27.008219012975676,0,4
6,EW,0,11.612521961706673,3.0,34.837565885120014,1,0
7,F,1,9.454281060102518,11.454059041076611,108.2898934533466,0,0
8,R,2,9.454281060102518,6.991412107759869,66.09877507376555,0,0
9,R,2,11.454059041076611,5.7707730365909375,66.09877507376557,0,0
10,R,2,9.454281060102518,6.991412107759869,66.09877507376555,0,0
11,R,2,11.454059041076611,5.7707730365909375,66.09877507376557,0,0
12,EW,1,9.454281060102518,3.0,28.36284318030756,1,2
13,EW,1,11.454059041076611,3.0,34.362177123229834,0,3
14,EW,1,9.454281060102518,3.0,28.36284318030756,0,0
15,EW,1,11.454059041076611,3.0,34.362177123229834,0,2
16,IWB,0,6.118277956116132,3.0,18.3548338683484,2,0
17,IWB,0,2.259154361263263,3.0,6.7774630837897885,1,0
18,IWB,0,4.317451220323477,3.0,12.95235366097043,0,0
19,IW,0,2.001950242387556,3.0,6.005850727162668,1,0
20,IW,0,2.018114008817928,3.0,6.054342026453783,0,0
21,IW,0,2.018114008817928,3.0,6.054342026453783,1,0
22,IW,0,2.001950242387556,3.0,6.005850727162668,0,0
23,IW,0,3.218146477898988,3.0,9.654439433696965,0,0
24,IW,0,4.105724145580963,3.0,12.317172436742888,2,0
25,IW,0,1.6785684880016116,3.0,5.035705464004835,1,0
26,IW,0,5.660018493018882,3.0,16.980055479056645,1,0
27,IW,0,5.660018493018882,3.0,16.980055479056645,0,0
28,IWB,1,4.587002605187323,3.0,13.761007815561973,2,0
29,IWB,1,3.639796090321625,3.0,10.919388270964877,1,0
30,IWB,1,2.658005186994283,3.0,7.974015560982849,0,0
31,IWB,1,4.149745486285398,3.0,12.449236458856197,1,0
32,IW,1,2.3671128175497955,3.0,7.101338452649387,0,0
33,IW,1,2.7270606074254835,3.0,8.18118182227645,1,0
34,IW,1,2.0180534846302707,3.0,6.0541604538908125,0,0
35,IW,1,4.942137670642518,3.0,14.826413011927556,0,0
36,IW,1,5.278792633266187,3.0,15.836377899798562,1,0
37,IW,1,2.658005186994283,3.0,7.974015560982849,0,0
38,Finish,2,0.0,0.0,0.0,0,0
