id,type,storey,length,width,area,doors,windows
0,Start,0,0.0,0.0,0.0,0,0
1,S,0,-1.0,-1.0,5.058411291394382,0,0
2,F,0,9.088592840504177,12.53227301104306,113.90072676340968,0,0
3,EW,0,9.088592840504177,3.0,27.265778521512523,1,5
4,EW,0,12.53227301104306,3.0,37.59681903312918,0,3
5,EW,0,9.088592840504177,3.0,27.265778521512523,0,0
6,EW,0,12.53227301104306,3.0,37.59681903312918,0,0
7,F,1,11.906828296504392,9.09477240762247,108.2898934533466,0,0
8,R,2,11.906828296504392,5.551333522897179,66.09877507376555,0,0
9,R,2,9.09477240762247,7.267776708559208,66.09877507376554,0,0
10,R,2,11.906828296504392,5.551333522897179,66.09877507376555,0,0
11,R,2,9.09477240762247,7.267776708559208,66.09877507376554,0,0
12,EW,1,11.906828296504392,3.0,35.72048488951317,0,1
13,EW,1,9.09477240762247,3.0,27.284317222867408,0,3
14,EW,1,11.906828296504392,3.0,35.72048488951317,0,3
15,EW,1,9.09477240762247,3.0,27.284317222867408,1,0
16,IWB,0,2.5022464875498622,3.0,7.506739462649587,0,0
17,IWB,0,3.2737044421829165,3.0,9.82111332654875,1,0
18,IWB,0,5.888751971801791,3.0,17.666255915405372,1,0
19,IW,0,2.3408642738484,3.0,7.022592821545201,3,0
20,IW,0,3.716484669711232,3.0,11.149454009133697,0,0
21,IW,0,3.7100244245090144,3.0,11.130073273527042,1,0
22,IW,0,2.3408642738484,3.0,7.022592821545201,1,0
23,IW,0,3.7100244245090144,3.0,11.130073273527042,0,0
24,IW,0,2.5022464875498622,3.0,7.506739462649587,1,0
25,IW,0,6.82908746243919,3.0,20.48726238731757,0,0
26,IW,0,1.4262143812695407,3.0,4.278643143808623,1,0
27,IW,0,1.4262143812695407,3.0,4.278643143808623,0,0
28,IWB,1,4.005793440004892,3.0,12.017380320014675,1,0
29,IWB,1,3.172695295928853,3.0,9.51808588778656,0,0
30,IWB,1,2.8368209579339125,3.0,8.510462873801737,0,0
31,IWB,1,5.295419339795051,3.0,15.886258019385153,0,0
32,IW,1,2.2755260955113035,3.0,6.826578286533911,1,0
33,IW,1,4.005793440004892,3.0,12.017380320014675,3,0
34,IW,1,4.471846996399995,3.0,13.415540989199984,0,0
35,IW,1,2.590428902881397,3.0,7.77128670864419,0,0
36,IW,1,4.136715998733499,3.0,12.410147996200497,1,0
37,IW,1,1.9795083444281465,3.0,5.93852503328444,0,0
38,Finish,2,0.0,0.0,0.0,0,0
