id,type,storey,length,width,area,doors,windows
0,Start,0,0.0,0.0,0.0,0,0
1,S,0,-1.0,-1.0,5.058411291394382,0,0
2,F,0,11.323240775282567,9.52403664635681,107.8429600993129,0,0
3,EW,0,11.323240775282567,3.0,33.969722325847705,0,3
4,EW,0,9.52403664635681,3.0,28.57210993907043,0,1
5,EW,0,11.323240775282567,3.0,33.969722325847705,0,1
6,EW,0,9.52403664635681,3.0,28.57210993907043,1,2
7,F,1,12.428997832375115,8.71268101530057,108.2898934533466,0,0
8,R,2,12.428997832375115,5.318109791731649,66.09877507376555,0,0
9,R,2,8.71268101530057,7.586502358767381,66.09877507376555,0,0
10,R,2,12.428997832375115,5.318109791731649,66.09877507376555,0,0
11,R,2,8.71268101530057,7.586502358767381,66.09877507376555,0,0
12,EW,1,12.428997832375115,3.0,37.28699349712535,1,1
13,EW,1,8.71268101530057,3.0,26.13804304590171,0,0
14,EW,1,12.428997832375115,3.0,37.28699349712535,0,2
15,EW,1,8.71268101530057,3.0,26.13804304590171,0,4
16,IWB,0,2.884014177558595,3.0,8.652042532675786,0,0
17,IWB,0,4.401583248959279,3.0,13.204749746877836,0,0
18,IWB,0,4.227148190858872,3.0,12.681444572576616,2,0
19,IW,0,3.41976286397971,3.0,10.25928859193913,1,0
20,IW,0,2.91699116768016,3.0,8.75097350304048,1,0
21,IW,0,4.250647825989271,3.0,12.751943477967812,0,0
22,IW,0,6.302877708868802,3.0,18.908633126606407,3,0
23,IW,0,2.049479361111126,3.0,6.148438083333378,0,0
24,IW,0,3.6148846103467904,3.0,10.844653831040372,1,0
25,IW,0,3.41976286397971,3.0,10.25928859193913,0,0
26,IWB,1,3.709435563723172,3.0,11.128306691169517,0,0
27,IWB,1,2.0586007848639825,3.0,6.175802354591948,1,0
28,IWB,1,2.2272547915225367,3.0,6.68176437456761,0,0
29,IWB,1,4.584691608174603,3.0,13.75407482452381,1,0
30,IW,1,3.002604329550986,3.0,9.007812988652958,0,0
31,IW,1,3.95080283540214,3.0,11.85240850620642,2,0
32,IW,1,2.2272547915225367,3.0,6.68176437456761,1,0
33,IW,1,2.833028709117935,3.0,8.499086127353806,1,0
34,IW,1,4.269754989398769,3.0,12.809264968196306,0,0
35,IW,1,4.993983600867752,3.0,14.981950802603256,0,0
36,Finish,2,0.0,0.0,0.0,0,0
