id,type,storey,length,width,area,doors,windows
0,Start,0,0.0,0.0,0.0,0,0
1,S,0,-1.0,-1.0,5.482692099068985,0,0
2,F,0,12.268783216550538,9.297637391916489,114.07069758751771,0,0
3,EW,0,12.268783216550538,3.0,36.806349649651615,0,2
4,EW,0,9.297637391916489,3.0,27.892912175749466,0,1
5,EW,0,12.268783216550538,3.0,36.806349649651615,1,2
6,EW,0,9.297637391916489,3.0,27.892912175749466,0,2
7,F,1,9.667925640341029,11.200943975146956,108.2898934533466,0,0
8,R,2,9.667925640341029,6.836913887500067,66.09877507376555,0,0
9,R,2,11.200943975146956,5.9011789738818266,66.09877507376554,0,0
10,R,2,9.667925640341029,6.836913887500067,66.09877507376555,0,0
11,R,2,11.200943975146956,5.9011789738818266,66.09877507376554,0,0
12,EW,1,9.667925640341029,3.0,29.00377692102308,1,2
13,EW,1,11.200943975146956,3.0,33.60283192544087,0,5
14,EW,1,9.667925640341029,3.0,29.00377692102308,0,0
15,EW,1,11.200943975146956,3.0,33.60283192544087,0,0
16,IWB,0,3.712331591560516,3.0,11.136994774681549,0,0
17,IWB,0,2.386534694422137,3.0,7.1596040832664105,1,0
18,IWB,0,3.309804099114073,3.0,9.92941229734222,0,0
19,IWB,0,3.712331591560516,3.0,11.136994774681549,0,0
20,IW,0,4.492360183780539,3.0,13.477080551341617,0,0
21,IW,0,4.152097235009378,3.0,12.456291705028132,0,0
22,IW,0,6.923136561009235,3.0,20.769409683027703,1,0
23,IW,0,4.152097235009378,3.0,12.456291705028132,1,0
24,IW,0,2.721892519931201,3.0,8.165677559793604,1,0
25,IW,0,2.0142941203305,3.0,6.0428823609914994,3,0
26,IWB,1,2.462638197922716,3.0,7.387914593768148,1,0
27,IWB,1,3.031083431545905,3.0,9.093250294637716,0,0
28,IWB,1,5.196000172253694,3.0,15.58800051676108,0,0
29,IWB,1,2.047891001064982,3.0,6.143673003194945,0,0
30,IW,1,4.064432562987477,3.0,12.193297688962431,0,0
31,IW,1,3.581687020625897,3.0,10.745061061877692,2,0
32,IW,1,2.503929958300972,3.0,7.511789874902915,1,0
33,IW,1,2.129687375441097,3.0,6.3890621263232905,0,0
34,IW,1,5.196000172253694,3.0,15.58800051676108,1,0
35,IW,1,4.972048659899831,3.0,14.916145979699492,1,0
36,Finish,2,0.0,0.0,0.0,0,0
